Unnamed: 0,Månad,Medel precip,Medel Temp
Jan,1,2.73,0.91
Feb,2,2.21,0.83
Mars,3,1.65,3.17
April,4,1.69,7.94
Maj,5,1.94,12.64
Juni,6,2.33,16.19
Juli,7,2.93,18.54
Aug,8,3.06,17.78
Sep,9,2.66,14.3
Okt,10,3.56,9.59
Nov,11,3.02,5.71
Dec,12,2.89,2.18
